match_id,duration,start_time,radiant_team_id,radiant_name,dire_team_id,dire_name,leagueid,league_name,series_id,series_type,radiant_score,dire_score,radiant_win,version
8885195986,2836,1783417108,9895247.0,Rune Eaters,8261500.0,Xtreme Gaming,19785,Esports World Cup 2026,1118055,3,41,23,True,
8885195787,1924,1783416857,55.0,_PowerRangers,9964962.0,GamerLegion,19785,Esports World Cup 2026,1118052,3,15,40,False,22.0
8885183102,2623,1783416279,9247354.0,Team Falcons,8255888.0,BoomBoys,19785,Esports World Cup 2026,1118051,3,17,30,False,22.0
8880928888,1167,1783176897,10186995.0,牧卫队,7670725.0,坤队,19943,FB杯DOTA2精英联赛26赛季,1117228,1,13,30,False,22.0
8880797450,2181,1783172614,10186995.0,牧卫队,7670725.0,坤队,19943,FB杯DOTA2精英联赛26赛季,1117191,1,25,34,False,22.0
8880668008,3173,1783168076,9776596.0,火车王,,,19943,FB杯DOTA2精英联赛26赛季,0,0,48,29,True,22.0
8879217456,1471,1783089568,,,10186995.0,牧卫队,19943,FB杯DOTA2精英联赛26赛季,0,0,22,20,False,22.0
8876894624,2439,1782955139,10186491.0,Cuba,10182514.0,Canada,19885,Road to ENC 2026 Regional Qualifiers,1116383,1,16,45,False,22.0
8876860926,1925,1782951377,10182514.0,Canada,10186491.0,Cuba,19885,Road to ENC 2026 Regional Qualifiers,1116383,1,8,30,False,22.0
8876860563,2227,1782952339,10186492.0,Ecuador,10182705.0,Bolivia ,19885,Road to ENC 2026 Regional Qualifiers,1116376,1,32,5,True,22.0
8876821060,2079,1782947602,10182705.0,Bolivia ,10186492.0,Ecuador,19885,Road to ENC 2026 Regional Qualifiers,1116376,1,10,39,False,22.0
8876816332,2577,1782947186,10186491.0,Cuba,10182514.0,Canada,19885,Road to ENC 2026 Regional Qualifiers,1116383,1,22,38,False,22.0
8876753073,3367,1782942371,10186492.0,Ecuador,10182705.0,Bolivia ,19885,Road to ENC 2026 Regional Qualifiers,1116376,1,17,37,False,22.0
8876713570,2916,1782940007,10182892.0,Mexico,10186491.0,Cuba,19885,Road to ENC 2026 Regional Qualifiers,1116354,1,27,30,False,22.0
8876640180,2161,1782936342,10186491.0,Cuba,10182892.0,Mexico,19885,Road to ENC 2026 Regional Qualifiers,1116354,1,28,18,True,22.0
8876624227,2389,1782935611,10186492.0,Ecuador,10182810.0,Argentina,19885,Road to ENC 2026 Regional Qualifiers,1116309,1,39,24,True,22.0
8876607269,3202,1782934840,10182519.0,Team France,10177742.0,Great Britain,19885,Road to ENC 2026 Regional Qualifiers,1116318,1,27,46,False,22.0
8876602958,1926,1782934647,10182748.0,Team South Africa,10182738.0,Team Madagascar,19885,Road to ENC 2026 Regional Qualifiers,1116325,1,54,29,True,22.0
8876599600,3479,1782934746,10182639.0,Serbia,8532176.0,GREECE,19885,Road to ENC 2026 Regional Qualifiers,1116281,1,24,47,False,22.0
8876574066,1705,1782933382,10182705.0,Bolivia ,10182824.0,Peru,19885,Road to ENC 2026 Regional Qualifiers,1116311,1,10,36,False,22.0
8876522645,1593,1782931196,10182738.0,Team Madagascar,10182748.0,Team South Africa,19885,Road to ENC 2026 Regional Qualifiers,1116325,1,11,35,False,22.0
8876493211,2924,1782930116,10177742.0,Great Britain,10182519.0,Team France,19885,Road to ENC 2026 Regional Qualifiers,1116318,1,32,28,True,22.0
8876483597,3267,1782929323,10182639.0,Serbia,8532176.0,GREECE,19885,Road to ENC 2026 Regional Qualifiers,1116281,1,42,45,True,22.0
8876478470,1753,1782929665,10182824.0,Peru,10182705.0,Bolivia ,19885,Road to ENC 2026 Regional Qualifiers,1116311,1,33,13,True,22.0
8876475870,4576,1782929081,10182810.0,Argentina,10186492.0,Ecuador,19885,Road to ENC 2026 Regional Qualifiers,1116309,1,57,46,False,22.0
8876455921,1058,1782928125,10182524.0,Team Nigeria,10182738.0,Team Madagascar,19885,Road to ENC 2026 Regional Qualifiers,1116276,1,5,27,False,22.0
8876453217,1897,1782928004,9855768.0,Türkiye,10182492.0,Kyrgyzstan,19885,Road to ENC 2026 Regional Qualifiers,1116306,1,21,47,False,22.0
8876338118,3739,1782923623,8532176.0,GREECE,10182639.0,Serbia,19885,Road to ENC 2026 Regional Qualifiers,1116281,1,41,24,True,22.0
8876335535,3271,1782923299,10186464.0,Team Belgium,10177742.0,Great Britain,19885,Road to ENC 2026 Regional Qualifiers,1116212,1,37,43,False,22.0
8876315460,1967,1782922567,10182524.0,Team Nigeria,10182738.0,Team Madagascar,19885,Road to ENC 2026 Regional Qualifiers,1116276,1,19,59,False,22.0
